crp,lastname,firstname,party,distIdRunFor,fec_id
N00036633,Abraham, Ralph,R,LA05,H4LA05221
N00037014,Achadjian, Katcho,R,CA24,H6CA24295
N00035451,Adams, Alma,D,NC12,H4NC12100
N00036990,Adams, Boyce,R,MS01,H5MS01067
N00037273,Adams, David,R,FL26,H6FL26017
N00037274,Adams, Desmund,D,IA03,H6IA03235
N00027843,Adams, Eddie,R,FL14,H6FL11175
N00036926,Adcock, Sam,R,MS01,H5MS01034
N00003028,Aderholt, Robert B,R,AL04,H6AL04098
N00033165,Agbede, Akinyemi,D,CAS1,S6CA00634
N00033997,Aguilar, Pete,D,CA31,H2CA31125
N00037402,Alam, MD,D,MOS1,S6MO00388
N00038843,Albarran, Charlene,D,UT02,H6UT02390
N00036917,Albertson, Stewart,D,CAS1,S6CA00618
N00038776,Allan, Seth,R,OR05,H6OR05168
N00033720,Allen, Richard W,R,GA12,H2GA12121
N00031938,Amash, Justin,R,MI03,H0MI03126
N00031177,Amodei, Mark,R,NV02,H2NV02395
N00038203,Anderson, Dave,D,MD08,H6MD08515
N00038571,Anderson, Phil,L,WIS2,S6WI00152
N00037163,Anderson, Stephanie,3,FL23,H6FL23048
N00038605,Andres, Teresita,D,CA22,H6CA22166
N00038806,Ansel, Jeff,I,TX13,H6TX13126
N00038621,Anthony, Malcolm,R,FL06,H6FL06142
N00038599,Appleby, Alex,L,CA09,H6CA09106
N00037263,Applegate, Douglas L,D,CA49,H6CA49102
N00038594,Armstrong-Stoner, Derek James,D,AZ08,H6AZ08178
N00038285,Arrington, Jodey,R,TX19,H6TX19099
N00036932,Ash, James,R,CA53,H6CA53047
N00005293,Ashford, Brad,D,NE02,H4NE02054
N00036354,Ashworth, Matthew,R,OH08,H6OH08117
N00038654,Assini, Mark W,R,NY25,H6NY25166
N00031491,Atanus, Susanne,R,IL09,H0IL09080
N00037020,Atkinson, Jacquie,R,CA52,H6CA52114
N00030980,Ayotte, Kelly,R,NHS1,S0NH00235
N00033731,Babeu, Paul,R,AZ01,H2AZ04127
N00005736,Babin, Brian,R,TX36,H6TX02079
N00037049,Bacon, Donald John,R,NE02,H6NE02125
N00038660,Baker, Bruce,R,CO07,H6CO07098
N00037618,Baker, Collin,R,TX06,H6TX06153
N00037598,Baker, Terry,R,MD06,H6MD06220
N00036368,Balchunis, Mary Ellen,D,PA07,H4PA07092
N00037452,Baldacci, Joe,D,ME02,H6ME02122
N00037303,Bangstad, Kirk,D,WI07,H6WI07140
N00037185,Banks, Jim,R,IN03,H6IN03229
N00037608,Bard, Gavin,3,NJ01,H6NJ01196
N00037030,Baricevic, Charles John,D,IL12,H6IL12099
N00033200,Barkley, Mike,D,CA10,H2CA00096
N00025495,Barletta, Lou,R,PA11,H2PA11098
N00038619,Barney, Sean,D,DE01,H6DE01097
N00031233,Barr, Andy,R,KY06,H0KY06104
N00037019,Barragan, Nanette,D,CA44,H6CA44103
N00038828,Barrera, Roy,D,TX27,H6TX27092
N00037265,Barringer, Adam,R,FL06,H6FL06100
N00037454,Bartley, Lori,R,TX18,H6TX18141
N00005656,Barton, Joe,R,TX06,H4TX06117
N00001883,Barve, Kumar P,D,MD08,H6MD08291
N00038671,Basham, Danny,D,IN06,H6IN06164
N00031877,Bass, Karen,D,CA37,H0CA33117
N00037160,Batsche, Christopher,R,MOS1,S6MO00370
N00038259,Batts, Jason,R,KY01,H6KY01102
N00038687,Baucum, Trey,R,LA04,H6LA04120
N00038659,Baugh, Scott,R,CA48,H6CA48245
N00038277,Beagle, Bill,R,OH08,H6OH08141
N00038245,Bean, Rowan,I,AZ02,H6AZ02197
N00033904,Beatty, Joyce,D,OH03,H2OH03125
N00009774,Becerra, Xavier,D,CA34,H2CA30143
N00036936,Beck, Kristin,D,MD05,H6MD05198
N00032702,Becker, Francis X Jr,R,NY04,H0NY04099
N00037624,Becker, Julie,3,WI05,H6WI05102
N00038849,Bedell, Eileen McNeil,D,VA07,H6VA07148
N00034073,Bedwell, Danny,L,MS01,H2MS01114
N00038827,Beebe, Micah,R,TX26,H6TX26128
N00036211,Beers, Bob,R,NVS2,S6NV00192
N00038780,Beiler, Chet,R,PA16,H6PA16312
N00038559,Beitiks, Mikelis,I,CAS1,S6CA00766
N00038795,Bell, Adam,D,TX03,H6TX03192
N00038636,Bell, Doug,R,GA05,H6GA05290
N00037497,Benedict, Lee,R,GAS2,S6GA00184
N00031934,Benishek, Dan,R,MI01,H0MI01088
N00030608,Bennet, Michael F,D,COS1,S0CO00211
N00037514,Bennett, Ken,R,AZ01,H6AZ01173
N00038853,Bennett, LuAnn,D,VA10,H6VA10209
N00038782,Bennett, Rob,D,PA18,H6PA18219
N00037026,Bensmihen, Joseph,R,FL22,H6FL22073
N00038696,Benson-Staebler, David,R,MN02,H6MN02180
N00030717,Bera, Ami,D,CA07,H0CA03078
N00037017,Bernal, Benny,D,CA24,H6CA29203
N00036018,Beyer, Don,D,VA08,H4VA08224
N00027462,Bilirakis, Gus,R,FL12,H6FL09070
N00035718,Bircher, Mark,R,FL13,H4FL13135
N00038445,Bishop, Bob,R,NY19,H6NY19227
N00036449,Bishop, Mike,R,MI08,H4MI08135
N00025292,Bishop, Rob,R,UT01,H2UT01094
N00002674,Bishop, Sanford,D,GA02,H2GA02031
N00031539,Black, Diane,R,TN06,H0TN06257
N00003105,Blackburn, Marsha,R,TN07,H2TN06030
N00039045,Blaha, Robert,R,COS1,S6CO00275
N00009683,Blakley, Will,R,NCS2,S8NC00254
N00037534,Blatt, Doug,D,TX22,H6TX22234
N00033744,Blum, Rod,R,IA01,H2IA01055
N00007727,Blumenauer, Earl,D,OR03,H6OR03064
N00031685,Blumenthal, Richard,D,CTS2,S0CT00177
N00005195,Blunt, Roy,R,MOS1,S0MO00183
N00038668,Boccarossa, Jack,R,IL17,H6IL17213
N00003675,Boehner, John,R,OH08,H0OH08029
N00033474,Bonamici, Suzanne,D,OR01,H2OR01133
N00035577,Bonner, Jay Alan,R,FL20,H4FL20064
N00033714,Boone, Dan,D,TX21,H2TX21102
N00013873,Boozman, John,R,ARS2,S0AR00150
N00024866,Bordallo, Madeleine Z,D,GU00,H2GU00033
N00038418,Borders, Jason D,D,FL09,H6FL09211
N00035420,Bost, Mike,R,IL12,H4IL12060
N00038708,Bouie, John II,R,MS02,H6MS02162
N00026595,Boustany, Charles Jr,R,LAS2,S6LA00300
N00036594,Bowers, Kerry Dale,R,NV03,H6NV03121
N00039031,Bowman, Marcus,R,ALS2,S6AL00336
N00031440,Boyd, Will,D,AL05,H6AL05202
N00038440,Boylan, Patrick,D,NV01,H6NV01216
N00035307,Boyle, Brendan,D,PA13,H4PA13199
N00038805,Bradshaw, Bill,D,TX12,H6TX12136
N00005883,Brady, Kevin,R,TX08,H6TX08100
N00001619,Brady, Robert A,D,PA01,H8PA01153
N00037262,Brandman, Jordan,D,CA46,H6CA46132
N00036013,Brat, Dave,R,VA07,H4VA07143
N00038677,Bratcher, Harold,R,KY03,H6KY03173
N00036898,Breu, Tom,D,WI01,H6WI01176
N00033532,Bridenstine, James,R,OK01,H2OK01143
N00038682,Brill, Roger Q,R,KY06,H6KY06135
N00039048,Bronson, Daniel J,R,ILS2,S6IL00359
N00038640,Brookins, Howard Jr,D,IL01,H6IL01167
N00030910,Brooks, Mo,R,AL05,H0AL05163
N00033495,Brooks, Susan,R,IN05,H2IN05082
N00038202,Brown, Anitra,I,FL01,H6FL01085
N00036999,Brown, Anthony,D,MD04,H6MD04209
N00002713,Brown, Corrine,D,FL05,H2FL03056
N00037429,Brown, James P,I,ILS2,S6IL00318
N00037186,Brown, Liz,R,IN03,H6IN03237
N00037254,Brown, Paul,R,TX32,H6TX32043
N00037612,Brown, Sakima,R,NY18,H6NY18161
N00034254,Brownley, Julia,D,CA26,H2CA00120
N00038602,Bruner, Matthew,I,CA20,H6CA20160
N00038791,Bryan, Pat,D,TX02,H6TX02160
N00037601,Bryant, Jamal Harrison,D,MD07,H6MD07442
N00038725,Bryson, Rick,D,NC11,H6NC11198
N00027626,Buchanan, Vernon,R,FL16,H6FL13148
N00038860,Buchholz, Myron,D,WI03,H6WI03164
N00030829,Buck, Kenneth R,R,CO04,H4CO04090
N00031227,Bucshon, Larry,R,IN08,H0IN08114
N00038256,Bullwinkel, Deb,D,IL08,H6IL08188
N00038852,Bunch, Bill,D,VA09,H6VA09078
N00025219,Burgess, Michael,R,TX26,H2TX26093
N00036941,Burk, John,R,NC09,H6NC09168
N00038680,Burk, John Jr,R,KY05,H6KY05137
N00002221,Burr, Richard,R,NCS2,S4NC00089
N00034523,Burris, Michael,R,MO05,H2MO05352
N00037006,Bush, Jeb,R,PRES,P60008059
N00033390,Bustos, Cheri,D,IL17,H2IL17071
N00027035,Butterfield, G K,D,NC01,H4NC01046
N00035380,Byrne, Bradley,R,AL01,H4AL01123
N00038607,Caforio, Bryan,D,CA25,H6CA25177
N00037057,Cage, Ericke,D,VA05,H6VA05100
N00035433,Cain, Emily,D,ME02,H4ME02200
N00028223,Calderin, Michael,D,FL25,H6FL25027
N00033255,Callahan, Mark,R,ORS2,S4OR00172
N00037052,Calone, David L,D,NY01,H6NY01118
N00007099,Calvert, Ken,R,CA42,H2CA37023
N00033999,Campos, Benjamin,R,CA38,H2CA38237
N00038411,Canada, Mike,R,CA52,H6CA52122
N00035515,Cannon, Jerry,D,MI01,H4MI01114
N00038436,Cano, Christian,D,NC09,H6NC09184
N00038633,Canova, Tim,D,FL23,H6FL23063
N00000267,Capuano, Michael E,D,MA07,H8MA08071
N00037015,Carbajal, Salud,D,CA24,H6CA24303
N00033373,Cardenas, Tony,D,CA29,H2CA28113
N00038844,Cardwell, Pat,R,VA02,H6VA02107
N00034135,Cargas, James,D,TX07,H2TX07036
N00037623,Carnahan, Weldon,R,WI04,H6WI04055
N00030736,Carney, John,D,DE01,H0DE01017
N00038600,Caro, Suzanne,R,CA13,H6CA13140
N00032063,Carpenter, Sam,R,ORS2,S0OR00238
N00007498,Carroll, Jerry Leon,3,CAS1,S2CA00591
N00037264,Carroll, Morgan,D,CO06,H6CO06058
N00029513,Carson, Andre,D,IN07,H8IN07184
N00036973,Carson, Ben,R,PRES,P60005915
N00035346,Carter, Buddy,R,GA01,H4GA01039
N00031188,Carter, Jerry Dean,I,NVS2,S0NV00211
N00025095,Carter, John,R,TX31,H2TX31044
N00034128,Cartwright, Matt,D,PA17,H2PA17079
N00034735,Casey, Keith,R,TX14,H6TX14132
N00037252,Castillo, Christopher,R,CA44,H6CA44129
N00027514,Castor, Kathy,D,FL14,H6FL11126
N00038273,Castricone, Dan,R,NY18,H6NY18179
N00033316,Castro, Joaquin,D,TX20,H2TX35011
N00038676,Caughey, Miles,R,KY01,H6KY01144
N00036102,Chabot, Paul,R,CA31,H4CA31071
N00003689,Chabot, Steve,R,OH01,H8OH01043
N00037300,Chadwick, Bruce,R,TX33,H6TX33017
N00009954,Chafee, Lincoln,D,PRES,P60008075
N00028958,Chaffetz, Jason,R,UT03,H8UT03089
N00037271,Chane, Jonathan,D,FL18,H6FL18113
N00038268,Chappelle-Nadal, Maria,D,MO01,H6MO01253
N00035807,Chavez, Cesar,D,AZ07,H4AZ07035
N00036918,Chavez, Rocky,R,CAS1,S6CA00626
N00038424,Chelgren, Mark,R,IA02,H6IA02153
N00035504,Cheney, Liz,R,WY01,H6WY00159
N00036937,Cheng, Xiangfei "Scott",R,MD06,H6MD06188
N00032057,Chicon, Martin,D,NY13,H6NY13139
N00033246,Choi, Jun,D,NJ06,H2NJ07168
N00038702,Christensen, Gordon,D,MO04,H6MO04224
N00038864,Christensen, Leland,R,WY01,H6WY00142
N00037008,Christie, Chris,R,PRES,P60008521
N00035603,Christopher, Warren,D,MD04,H4MD04113
N00030600,Chu, Judy,D,CA27,H0CA32101
N00032019,Cicilline, David,D,RI01,H0RI01073
N00025785,Cino, Michael,R,NJ05,H2NJ05261
N00035278,Clark, Katherine,D,MA05,H4MA05084
N00038836,Clark, Mike,D,TX31,H6TX31045
N00038739,Clarke, Jonathan,D,NY03,H6NY03213
N00026961,Clarke, Yvette D,D,NY09,H4NY11138
N00035854,Clawson, Curt,R,FL19,H4FL19074
N00012460,Clay, William L Jr,D,MO01,H0MO01066
N00026790,Cleaver, Emanuel,D,MO05,H4MO05234
N00037011,Cleek, N Eugene,R,CA03,H6CA03117
N00035306,Clemens, Peter,D,UT01,H6UT01137
N00038705,Clever, Paul,R,MS01,H6MS01271
N00000019,Clinton, Hillary,D,PRES,P00003392
N00002408,Clyburn, James E,D,SC06,H2SC02042
N00035426,Coblenz, Michael,D,KY06,H4KY06148
N00024753,Coffman, Mike,R,CO06,H8CO06138
N00038408,Cohen, Ron,R,CA12,H6CA17141
N00003225,Cohen, Steve,D,TN09,H6TN09068
N00038717,Coker, Adam,D,NC02,H6NC02130
N00035136,Cole, Michael,D,TX14,H6TX14124
N00025726,Cole, Tom,R,OK04,H2OK04055
N00036158,Coleman, Bonnie,D,NJ12,H4NJ12149
N00038669,Coleman, Lynn,D,IN02,H6IN02155
N00001285,Collins, Chris,R,NY27,H8NY29032
N00033518,Collins, Doug,R,GA09,H2GA09150
N00036997,Collins, Nancy,R,MS01,H5MS01075
N00038260,Comer, James,R,KY01,H6KY01110
N00036023,Comstock, Barbara,R,VA10,H4VA10089
N00026041,Conaway, Mike,R,TX11,H4TX19136
N00033520,Concepcion, Hector L,R,IL04,H2IL04145
N00025431,Condit, Jim Jr,3,OH08,H2OH02077
N00035348,Condley, Kerri,D,CA42,H4CA42060
N00029891,Connolly, Gerry,D,VA11,H8VA11062
N00037499,Connors, Thomas,I,OHS2,S6OH00262
N00004029,Conyers, John Jr,D,MI13,H6MI01028
N00038763,Coogan, Bob,L,OH08,H6OH08273
N00034224,Cook, Paul,R,CA08,H2CA08164
N00037287,Cook, Suzan Johnson,D,NY13,H6NY13113
N00038272,Cook, York,R,NJ07,H6NJ07144
N00038716,Cooke, C L,L,NC01,H6NC01090
N00003132,Cooper, Jim,D,TN05,H2TN05131
N00038618,Cope, Clay,R,CT05,H6CT05157
N00038678,Corely, Everett,R,KY03,H6KY03181
N00038287,Corley, Jason,R,TX19,H6TX19115
N00038460,Cornelius, Bob,R,TX31,H6TX31037
N00038793,Cornette, Dave,R,TX03,H6TX03176
N00037260,Correa, Lou,D,CA46,H6CA46116
N00026341,Costa, Jim,D,CA16,H4CA20082
N00038661,Costello, Fred,R,FL06,H6FL06183
N00031064,Costello, Ryan,R,PA06,H0PA06076
N00037520,Counsil, Gordon Joe,I,ID01,H6ID01243
N00024842,Courtney, Joe,D,CT02,H2CT02112
N00028137,Coyne, John F III,D,GAS2,S4GA11202
N00031142,Cozad, David,D,TX06,H0TX06065
N00036906,Crabtree, Valleri,D,FL09,H6FL09146
N00038576,Craig, Andy,L,WI04,H6WI04063
N00037039,Craig, Angie,D,MN02,H6MN02131
N00004614,Cramer, Kevin,R,ND01,H0ND01026
N00035868,Cramer, Robert,R,IA03,H4IA03099
N00006267,Crapo, Mike,R,IDS2,S8ID00027
N00030770,Crawford, Rick,R,AR01,H0AR01083
N00012739,Crenshaw, Ander ,R,FL04,H0FL04066
N00002942,Crist, Charlie,D,FL13,H6FL13205
N00001127,Crowley, Joseph,D,NY14,H8NY07046
N00037156,Crumpton, Ron,D,ALS2,S6AL00302
N00033085,Cruz, Ted,R,PRES,P60006111
N00024978,Cuellar, Henry,D,TX28,H2TX23082
N00009738,Culberson, John,R,TX07,H0TX07055
N00036181,Culler, Anthony,R,TX01,H6TX01253
N00037028,Cullerton, Tom,D,IL08,H6IL08154
N00001971,Cummings, Elijah E,D,MD07,H6MD07160
N00036692,Cummings, Ted,I,WAS2,S4WA00524
N00035403,Curbelo, Carlos,R,FL26,H4FL26038
N00037579,Curran, Patricia Margaret,R,NC05,H6NC05117
N00037581,Curry, Dianne,D,AR02,H6AR02245
N00036549,Daggett, Doug,R,MN05,H4MN05071
N00035563,Dagnesses, Rafael,R,CA26,H4CA26139
N00038269,Daly, Kay,R,NC02,H6NC02122
N00035880,Davidson, Allen,D,IN05,H4IN05112
N00038767,Davidson, Warren,R,OH08,H6OH08315
N00036947,Davies, Aaron,I,OK02,H6OK02225
N00004884,Davis, Danny K,D,IL07,H4IL07037
N00037187,Davis, Dereck,D,MD04,H6MD04233
N00034784,Davis, Rodney,R,IL13,H2IL13120
N00009604,Davis, Susan A,D,CA53,H0CA49055
N00037275,Day, Thomas,D,IL07,H6IL07289
N00038274,Deacon, Colleen,D,NY24,H6NY24177
N00005930,Dean, Andre,R,TX08,H6TX08167
N00037299,Deeb, Gregory,R,TX27,H6TX27084
N00007781,DeFazio, Peter,D,OR04,H6OR04047
N00006134,DeGette, Diana,D,CO01,H6CO01141
N00037231,Del Beccaro, Tom,R,CAS1,S6CA00683
N00038845,Del Rosso, Michael,R,VA05,H6VA05126
N00034589,Del Vecchio, Kenneth,R,NY18,H6NY18195
N00033897,Delaney, John K,D,MD06,H2MD06195
N00000615,DeLauro, Rosa L,D,CT03,H0CT03072
N00030693,DelBene, Suzan,D,WA01,H0WA08046
N00037596,Demaree, Angela,D,IN05,H6IN05216
N00038713,Deming, Robert,R,MS04,H6MS04184
N00033449,Demings, Val,D,FL10,H2FL08063
N00031593,Denham, Jeff,R,CA10,H0CA19173
N00037293,Denham, Joe,D,PA06,H6PA06115
N00026171,Dent, Charlie,R,PA15,H4PA15087
N00038280,Derickson, Tim,R,OH08,H6OH08182
N00038247,Derlet, Robert,D,CA04,H6CA04156
N00037406,Derrick, Mike,D,NY21,H6NY21132
N00034746,DeSantis, Ron,R,FLS2,S6FL00293
N00030709,Desaulnier, Mark,D,CA11,H0CA10073
N00030957,Desjarlais, Scott,R,TN04,H0TN04195
N00038862,Detch, Matt,D,WV03,H6WV03091
N00036934,Detzel, Denis,R,IL09,H6IL09137
N00038254,Deuser, August,R,IL01,H6IL01159
N00031317,Deutch, Ted,D,FL22,H0FL19080
N00035064,DeVore, Bob Jr,R,KY03,H2KY03164
N00025337,Diaz-Balart, Mario,R,FL25,H2FL25018
N00038406,DiChihara, Larry,R,AL03,H6AL03157
N00038255,Dicianni, Peter,R,IL08,H6IL08170
N00038198,Dickerson, John Martin,D,INS2,S6IN00209
N00038464,Dickinson, Mike,D,VA07,H6VA07122
N00036149,Dingell, Debbie,D,MI12,H4MI12079
N00037621,Dittmar, Jane,D,VA05,H6VA05118
N00006023,Doggett, Lloyd,D,TX35,H4TX10028
N00031103,Dold, Bob,R,IL10,H0IL10302
N00035401,Domino, Carl,R,FL18,H4FL18068
N00036928,Donovan, Dan,R,NY11,H5NY11010
N00033568,Douglas, Richard,R,MDS2,S2MD00388
N00001373,Doyle, Mike,D,PA14,H4PA18131
N00038645,Drabik, Gerald "Jerry",R,IL06,H6IL06174
N00036938,Driskell, Gretchen,D,MI07,H6MI07223
N00027860,Duckworth, Tammy,D,ILS2,S6IL00292
N00038726,Duffie, Ryan,R,NC12,H6NC12030
N00030967,Duffy, Sean P,R,WI07,H0WI07051
N00030752,Duncan, Jeff,R,SC03,H0SC03077
N00037165,Duncan, Jim,R,NC02,H6NC02114
N00003209,Duncan, John J Jr,R,TN02,H8TN02069
N00037516,Dunn, Joseph,D,CA46,H6CA46157
N00037442,Dunn, Neal,R,FL02,H6FL02208
N00038777,Duome, Marc,R,PA08,H6PA08251
N00028249,Edwards, Donna,D,MDS2,S6MD03458
N00035313,Eggman, Michael,D,CA10,H4CA10075
N00036920,Ehler, Charles,R,COS1,S6CO00234
N00038441,Eisenbach, David,D,NY12,H6NY12123
N00038194,Eldridge, Conner,D,ARS2,S6AR00132
N00038810,Elizondo, Dolly,D,TX15,H6TX15170
N00036527,Ellison, Allen,D,FL17,H4FL17037
N00038684,Ellison, Greg,R,LA03,H6LA03098
N00028257,Ellison, Keith,D,MN05,H6MN05183
N00031513,Ellmers, Renee,R,NC02,H0NC02059
N00037234,Emanuele, James,R,NYS2,S6NY00375
N00037404,Emery, Ed,D,FL03,H6FL03057
N00035440,Emmer, Tom,R,MN06,H4MN06087
N00001003,Engel, Eliot L,D,NY16,H8NY19058
N00037592,Enyia, Amara,D,IL07,H6IL07297
N00037282,Ervin, Valerie,D,MD08,H6MD08499
N00007335,Eshoo, Anna,D,CA18,H8CA12098
N00034549,Espaillat, Adriano,D,NY13,H2NY13096
N00038800,Espinoza, Maria,R,TX07,H6TX07128
N00009226,Estrada, John,R,CAS1,S6CA00600
N00033217,Esty, Elizabeth,D,CT05,H2CT05131
N00038731,Evans, Chip,D,NV02,H6NV02248
N00038450,Evans, Dwight,D,PA02,H6PA02171
N00006700,Evans, Mervin,D,CAS1,S4CA00191
N00033521,Evans, Richard,R,IL08,H6IL08204
N00037449,Faddis, Sam,R,MD05,H6MD05206
N00038420,Fahmy, Fatima Rita,D,FL10,H6FL10151
N00035705,Fareed, Justin,R,CA24,H4CA24142
N00031672,Farenthold, Blake,R,TX27,H0TX27061
N00007312,Farr, Sam,D,CA20,H4CA17021
N00037288,Faso, John,R,NY19,H6NY19169
N00001746,Fattah, Chaka,D,PA02,H2PA02055
N00038787,Fedalei, Chris,D,SC04,H6SC04163
N00038760,Feerer, Donald,R,OH08,H6OH08240
N00000036,Feingold, Russ,D,WIS2,S8WI00026
N00038783,Ferrer, Hector,D,PR00,H6PR00090
N00038201,Fetterman, John,D,PAS1,S6PA00274
N00001862,Ficker, Robin,R,MD06,H4MD08171
N00031167,Fiegen, Tom,D,IAS1,S0IA00119
N00038792,Filak, Michael,D,TX03,H6TX03168
N00031141,Fincher, Steve,R,TN08,H0TN08246
N00032335,Fiore, Michele,R,NV03,H6NV03105
N00031348,Fiorina, Carly,R,PRES,P60007242
N00038817,Fisher, Sharon,R,TX18,H6TX18166
N00038779,Fitzpatrick, Brian,R,PA08,H6PA08277
N00030815,Fleischmann, Chuck,R,TN03,H0TN03254
N00029679,Fleming, John,R,LAS2,S6LA00318
N00031545,Flores, Bill,R,TX17,H0TX17104
N00037190,Flores, Lucy,D,NV04,H6NV04012
N00037412,Flowers, Margaret,3,MDS2,S6MD03474
N00036989,Flynn, Michael,R,MI10,H6MI10185
N00037164,Flynn, Mike,R,IL18,H6IL18104
N00038609,Flynn, Sean,R,CA31,H6CA31134
N00038766,Foister, Corey,D,OH08,H6OH08307
N00038649,Folkner, Sadona M,3,IL12,H6IL12115
N00037295,Follweiler, Archie,D,PA15,H6PA15165
N00013799,Forbes, Randy,R,VA04,H2VA04052
N00038789,Forest, Dylan,D,TN05,H6TN05306
N00026631,Fortenberry, Jeff,R,NE01,H4NE01064
N00029139,Foster, Bill,D,IL11,H8IL14067
N00037297,Fowler, Steven,R,TX06,H6TX06146
N00038613,Fox, Randy,R,CA41,H6CA41190
N00026166,Foxx, Virginia,R,NC05,H4NC05146
N00002893,Frankel, Lois J,D,FL21,H2FL14053
N00006423,Franks, Trent,R,AZ08,H4AZ04024
N00035625,Fraser, Aaron,D,NJ10,H6NJ10205
N00031381,Fraser, William,I,IL08,H0IL08108
N00030759,Frazier, Ryan,R,COS1,S0CO00229
N00035223,Freeman, April,D,FL19,H4FL19058
N00037408,Freeman, Marc,R,FL22,H6FL22081
N00000684,Frelinghuysen, Rodney,R,NJ11,H2NJ05014
N00026344,Fritz, Jim,I,CO03,H4CO00015
N00030490,Fudge, Marcia L,D,OH11,H8OH11141
N00033281,Gabbard, Tulsi,D,HI02,H2HI02508
N00033934,Galdo, Joseph F,3,VA11,H2VA11164
N00037166,Gallagher, Mike,D,NY13,H6NY13097
N00038804,Gallaher, Scot,D,TX10,H6TX10148
N00036097,Gallego, Ruben,D,AZ07,H4AZ07043
N00037588,Galloway, GG,R,FL06,H6FL06118
N00037184,Galloway, Pam,R,IN03,H6IN03211
N00035624,Gandolfo, Angela Marie,D,NJ04,H4NJ04112
N00030856,Garamendi, John,D,CA03,H0CA10149
N00038832,Garcia, Adrian,D,TX29,H6TX29064
N00038831,Garcia, Dominique,D,TX29,H6TX29056
N00038456,Garrett, Greg,R,TX19,H6TX19123
N00000743,Garrett, Scott,R,NJ05,H8NJ05052
N00038847,Garrett, Tom,R,VA05,H6VA05142
N00038786,Garves, Ben,D,SC06,H6SC01169
N00038833,Garza, Julio,R,TX29,H6TX29072
N00036716,Gaskins, Samuel Lewis,D,KY01,H4KY01073
N00037614,Geissinger, Glenn,R,PA17,H6PA17161
N00037000,Gentile, Vinnie,D,NY11,H5NY11044
N00038278,George, Scott,R,OH08,H6OH08158
N00038244,Gerritson, Becky,R,AL02,H6AL02142
N00034896,Gerson, David,R,MN02,H2MN02130
N00031128,Gibbs, Bob,R,OH07,H0OH18077
N00038658,Gibson, Charlotte,D,CA44,H6CA44152
N00036084,Gibson, Mark,D,TX22,H4TX22163
N00038283,Gigliotti, Lou,R,TX04,H6TX04109
N00039035,Gilbert, Frank,L,ARS2,S6AR00140
N00037524,Gilbert, Melissa,D,MI08,H6MI08247
N00038195,Gildersleeve, Tim,I,CAS1,S6CA00733
N00036982,Giles, Dave,R,AZ09,H6AZ09010
N00038710,Giles, Jimmy,R,MS03,H6MS03178
N00026221,Gill, David,I,IL13,H6IL13113
N00028961,Gilmore, Jim,R,PRES,P80003379
N00038258,Giroux, Dan,D,KS04,H6KS04165
N00038412,Gitsham, Denise,R,CA52,H6CA52130
N00038714,Gladney Mark,D,MS04,H6MS04192
N00036919,Glenn, Darryl,R,COS1,S6CO00226
N00038270,Glidewell, Pete,D,NC06,H6NC06099
N00038560,Godwin, Mary Elisabeth,R,FLS2,S6FL00400
N00026148,Gohmert, Louis B Jr,R,TX01,H4TX04039
N00038451,Golderer, Bill,D,PA07,H6PA07121
N00036950,Gonzales, Regino James,R,TX18,H6TX18133
N00038423,Gonzalez, Evelio,R,FL14,H6FL14104
N00037615,Gonzalez, Jenniffer,3,PR00,H6PR00082
N00038840,Gonzalez, Rey Jr,R,TX34,H6TX34023
N00038703,Gonzalez, Travis,D,MO06,H6MO06211
N00038809,Gonzalez, Vicente,D,TX15,H6TX15162
N00009154,Goodlatte, Bob,R,VA06,H2VA06115
