crp,lastname,firstname,party,distIdRunFor,fec_id
N00038434,Googe, Sue,R,NC04,H6NC04151
N00038753,Gordon, Dave,D,NY22,H6NY22106
N00030771,Gosar, Paul,R,AZ04,H0AZ01259
N00036944,Gottheimer, Josh,D,NJ05,H6NJ05171
N00039057,Gould, James,R,KYS2,S6KY00179
N00038407,Gowan, David,R,AZ01,H6AZ01215
N00030880,Gowdy, Trey,R,SC04,H0SC04257
N00038421,Grabelle, Justin,R,FL11,H6FL11209
N00037050,Gradert, Jamieson,R,NH01,H6NH01289
N00035688,Graham, Gwen,D,FL02,H4FL02062
N00008799,Granger, Kay,R,TX12,H6TX12060
N00036123,Grant, Kevin,R,IN04,H4IN04180
N00037407,Grant, Kevin Jay,R,INS2,S6IN00183
N00001758,Grassley, Chuck,R,IAS1,S0IA00028
N00036135,Graves, Garret,R,LA06,H4LA06153
N00013323,Graves, Sam,R,MO06,H0MO06073
N00030788,Graves, Tom,R,GA14,H0GA09030
N00037259,Gray, Casey,R,CA28,H6CA28155
N00039052,Gray, Jim,D,KYS2,S6KY00120
N00028418,Grayson, Alan,D,FLS2,S6FL00376
N00035476,Grayson, Derrick,R,GAS2,S4GA11236
N00038206,Grayson, Richard,D,WY01,H6WY01033
N00026686,Green, Al,D,TX09,H4TX09095
N00005870,Green, Gene,D,TX29,H2TX29030
N00039039,Greene, Russell,D,CAS1,S6CA00782
N00037192,Gregory, DuWayne,D,NY02,H6NY02124
N00039038,Grey, Clive,I,CAS1,S6CA00774
N00038566,Griffin, Kevin,D,NCS2,S6NC00274
N00035683,Griffin, Taylor,R,NC03,H6NC03146
N00032029,Griffith, Morgan,R,VA09,H0VA09055
N00025284,Grijalva, Raul M,D,AZ03,H2AZ07070
N00037447,Grimsley, Warren,3,IL05,H6IL05168
N00029400,Grisham, Michelle Lujan,D,NM01,H8NM01257
N00036409,Grothman, Glenn S,R,WI06,H4WI06048
N00032386,Guild, Tom,D,OK05,H0OK05155
N00038686,Guillory, Elbert,R,LA04,H6LA04112
N00030801,Guinta, Frank,R,NH01,H0NH01217
N00039067,Gumina, Tony,R,NVS2,S6NV00259
N00037611,Gurfein, David,R,NY03,H6NY03171
N00029675,Guthrie, Brett,R,KY02,H8KY02031
N00037568,Guthrie, Sean,I,FLS2,S6FL00384
N00004874,Gutierrez, Luis V,D,IL04,H2IL08039
N00037176,Gutzeit, Maria,D,CA25,H6CA25169
N00038279,Haemmerle, Eric,R,OH08,H6OH08174
N00012485,Hagan, Bob,D,OHS2,S6OH00213
N00038452,Haggerty, Edward,I,PA16,H6PA16304
N00039050,Hale, John David,L,KYS2,S6KY00104
N00033277,Hall, Isadore,D,CA44,H2CA35100
N00038796,Hall, Ray,R,TX04,H6TX04117
N00028141,Hamilton, Eddie,R,NVS2,S6NV00168
N00030197,Hanna, Richard,R,NY22,H8NY24066
N00038646,Hantsch, Joseph J,R,IL08,H6IL08196
N00037591,Hardiman, Tio,D,IL01,H6IL01142
N00038435,Hardin, Chris,R,NC06,H6NC06107
N00038830,Hardin, Zeffen,R,TX28,H6TX28074
N00035628,Hardy, Cresent,R,NV04,H4NV04017
N00038667,Harlan, Patrick,R,IL17,H6IL17205
N00029632,Harper, Gregg,R,MS03,H8MS03067
N00037194,Harrington, John IV,R,TX27,H6TX27076
N00029147,Harris, Andy,R,MD01,H8MD01094
N00036915,Harris, Kamala D,D,CAS1,S6CA00584
N00035201,Harris, Napoleon,D,ILS2,S6IL00342
N00037296,Hartman, Christina,D,PA16,H6PA16296
N00031005,Hartzler, Vicky,R,MO04,H0MO04086
N00027939,Hassan, Ahmad,D,TX22,H6TX22242
N00038397,Hassan, Maggie,D,NHS1,S6NH00091
N00002884,Hastings, Alcee L,D,FL20,H2FL23021
N00037530,Hawks, Paula,D,SD01,H6SD01091
N00035173,Hayes, Chris,L,AR02,H2AR02061
N00037528,Heaney, Andrew,R,NY19,H6NY19193
N00031557,Heck, Dennis,D,WA10,H0WA03161
N00031244,Heck, Joe,R,NVS2,S6NV00218
N00033979,Heinz, Matt,D,AZ02,H2AZ08078
N00038267,Helland, Bob,3,MN06,H6MN06157
N00024922,Hensarling, Jeb,R,TX05,H2TX05121
N00038610,Hernandez, Roger,D,CA32,H6CA32132
N00038850,Hernick, Charles,R,VA08,H6VA08237
N00031559,Herrera Beutler, Jaime,R,WA03,H0WA03187
N00032243,Hice, Jody B,R,GA10,H0GA07125
N00038589,Hicks, Kerry,L,AR04,H6AR04076
N00038615,Hidalgo, Juan,R,CA51,H6CA51066
N00027060,Higgins, Brian M,D,NY26,H4NY27076
N00003875,Hill, Baron,D,INS2,S0IN00061
N00035792,Hill, French,R,AR02,H4AR02141
N00037272,Hill, Randal,D,FL24,H6FL24038
N00029070,Himes, Jim,D,CT04,H8CT04172
N00006008,Hinojosa, Ruben,D,TX15,H6TX15055
N00038700,Hinson, Amanda Lynn,R,MN07,H6MN07288
N00037451,Hoeber, Amie,R,MD06,H6MD06212
N00031688,Hoeven, John,R,NDS1,S0ND00093
N00038396,Hogg, Rob,D,IAS1,S6IA00124
N00038692,Holbrook, Mark,R,ME01,H6ME01207
N00037159,Holcomb, Eric,R,INS2,S6IN00175
N00033399,Holding, George,R,NC13,H2NC13110
N00037044,Holliday, Ed,R,MS01,H6MS01206
N00038429,Hollingsworth, Trey,R,IN09,H6IN09176
N00038415,Holloway, Lashonda,D,FL05,H6FL05193
N00034227,Holmes, Greg,R,MDS2,S6MD03524
N00039063,Homquist, Larry,R,NCS2,S6NC00308
N00012611,Honda, Mike,D,CA17,H0CA15148
N00039061,Hooe, Joey,R,MDS2,S6MD03516
N00038453,Horne, Jenny,R,SC01,H6SC01151
N00034596,Horne, Tom,R,WA05,H6WA05148
N00038616,Horst, John,R,CA52,H6CA52148
N00036091,Hosta, John,D,IL14,H4IL14124
N00037427,Houchin, Erin,R,IN09,H6IN09143
N00039051,Houlihan, Rory,D,KYS2,S6KY00112
N00036914,House, Phillip,D,CAS1,S6CA00576
N00037002,Howard, Albert,R,CAS1,S6CA00659
N00037450,Howard, Frank,R,MD06,H6MD06204
N00038266,Howe, John,R,MN02,H6MN02164
N00038644,Howland, Amanda,D,IL06,H6IL06166
N00001821,Hoyer, Steny H,D,MD05,H2MD05155
N00007539,Huckabee, Mike,R,PRES,P80003478
N00033630,Hudson, Richard,R,NC08,H2NC08185
N00027649,Huelskamp, Tim,R,KS01,H6KS01146
N00038603,Huerta, Emilio,D,CA21,H6CA21218
N00033030,Huffman, Jared,D,CA02,H2CA06259
N00030673,Huizenga, Bill,R,MI02,H0MI02094
N00031104,Hultgren, Randy,R,IL14,H0IL14080
N00029258,Hunter, Duncan D,R,CA50,H8CA52052
N00031417,Hurd, Will,R,TX23,H0TX23086
N00038718,Hurst, David,D,NC03,H6NC03153
N00031265,Hurt, Robert,R,VA05,H0VA05095
N00038788,Hyman, Mal,D,SC07,H6SC07018
N00037398,Invictus, Augustus Sol,L,FLS2,S6FL00301
N00038690,Ireton, Jim,D,MD01,H6MD01221
N00002593,Isakson, Johnny,R,GAS2,S6GA00119
N00036499,Isakson, Steve,3,CA24,H4CA24183
N00013345,Israel, Steve,D,NY03,H0NY02085
N00007017,Issa, Darrell,R,CA49,H0CA48024
N00033749,Ivey, Glenn,D,MD04,H2MD04232
N00031603,Izzo, Rose,R,DE01,H0DE01025
N00005818,Jackson Lee, Sheila,D,TX18,H4TX18054
N00038770,Jackson, Jarrin,R,OK02,H6OK02233
N00038438,Jacob, Peter,D,NJ07,H6NJ07151
N00037182,Jacobson, Oren,D,IL03,H6IL03130
N00033660,Jaquess, Don,D,TX06,H2TX06137
N00037037,Jawando, Will,D,MD08,H6MD08465
N00038858,Jayapal, Pramila,D,WA07,H6WA07458
N00038596,Jefferson, Jrmar,D,CA06,H6CA06219
N00033640,Jeffries, Hakeem,D,NY08,H2NY10092
N00035531,Jenkins, Evan,R,WV03,H4WV03070
N00029077,Jenkins, Lynn,R,KS02,H8KS02090
N00026786,Jindal, Bobby,R,PRES,P60008398
N00038685,John, Rick,R,LA04,H6LA04096
N00030850,John, Rob,I,AL02,H0AL02095
N00032088,Johnson, Bill,R,OH06,H0OH06189
N00008122,Johnson, Eddie Bernice,D,TX30,H2TX00015
N00033226,Johnson, Gary,L,PRES,P60019239
N00027848,Johnson, Hank,D,GA04,H6GA04129
N00037283,Johnson, Lon,D,MI01,H6MI01200
N00032546,Johnson, Ron,R,WIS2,S0WI00197
N00008028,Johnson, Sam,R,TX03,H2TX03118
N00035717,Jolly, David,R,FLS2,S6FL00350
N00004855,Jones, Art,R,IL03,H6IL03148
N00035791,Jones, Lateresa,3,FLS2,S6FL00277
N00039068,Jones, Rafael Arden Sr,R,NYS2,S6NY00409
N00038597,Jones, Scott,R,CA07,H6CA07126
N00036992,Jones, Starner,R,MS01,H5MS01083
N00039066,Jones, Tom,3,NVS2,S6NV00242
N00002299,Jones, Walter B Jr,R,NC03,H2NC01081
N00027894,Jordan, Jim,R,OH04,H6OH04082
N00035007,Joyce, David P,R,OH14,H2OH14064
N00038433,Juneau, Denise,D,MT01,H6MT01095
N00038743,Kaiman, Jon,D,NY03,H6NY03254
N00006887,Kalemkarian, Timothy Charles,R,CAS1,S6CA00477
N00036922,Kander, Jason,D,MOS1,S6MO00362
N00038738,Kaplan, Anna,D,NY03,H6NY03205
N00003522,Kaptur, Marcy,D,OH09,H2OH09031
N00009778,Kasich, John,R,PRES,P60003670
N00035934,Katko, John,R,NY24,H4NY24073
N00033516,Kaufman, Joe,R,FL23,H2FL20043
N00038611,Kealy, Dwight,R,CA36,H6CA36174
N00031933,Keating, Bill,D,MA09,H0MA10082
N00038823,Keenen, Lee,D,TX23,H6TX23190
N00037401,Kefalas, Chrys,R,MDS2,S6MD03466
N00037289,Kehoe, John,D,NY19,H6NY19177
N00036907,Keith, Pam,D,FLS2,S6FL00285
N00031647,Kelly, Mike,R,PA03,H0PA03271
N00035215,Kelly, Robin,D,IL02,H2IL02172
N00037003,Kelly, Trent,R,MS01,H5MS01059
N00038681,Kemper, Nancy Jo,D,KY06,H6KY06127
N00039053,Kender, Jeff,D,KYS2,S6KY00138
N00034044,Kennedy, Joe III,D,MA04,H2MA04073
N00038819,Key, John,R,TX19,H6TX19164
N00001885,Keyes, Alan,R,ILS2,S4IL00404
N00039046,Keyser, Jon,R,COS1,S6CO00283
N00038732,Khal, Sami,R,NV03,H6NV03113
N00026427,Khanna, Ro,D,CA17,H4CA12055
N00037029,Khouri, Tonia,R,IL11,H6IL11117
N00038719,Kiball, Teiji,R,NC04,H6NC04169
N00035555,Kiehne, Gary,R,AZ01,H4AZ01145
N00033395,Kildee, Dan,D,MI05,H2MI05119
N00034453,Kilmer, Derek,D,WA06,H2WA06129
N00004403,Kind, Ron,D,WI03,H6WI03099
N00001193,King, Pete,R,NY02,H2NY03089
N00025237,King, Steven A,R,IA04,H2IA05072
N00038757,King, Terri,R,OH08,H6OH08216
N00037291,Kingson, Eric,D,NY24,H6NY24169
N00037174,Kinlaw, Michael,R,COS1,S6CO00242
N00030667,Kinzinger, Adam,R,IL16,H0IL11052
N00038426,Kinzler, Jay,R,IL06,H6IL06158
N00012539,Kirk, Mark,R,ILS2,S0IL00261
N00029260,Kirkpatrick, Ann,D,AZS1,S6AZ00225
N00038754,Kirshner, Brandon,I,NY25,H6NY25158
N00004436,Kline, John,R,MN02,H8MN06047
N00038683,Knezek, Erick,R,LA03,H6LA03080
N00035820,Knight, Steve,R,CA25,H4CA25123
N00038657,Kokkonen, Matt,R,CA24,H6CA24329
N00038863,Konsmo, Mike,R,WY01,H6WY00134
N00038648,Kopsick, Joe,3,IL10,H6IL10150
N00037270,Kozell, Rick,R,FL18,H6FL18105
N00037622,Kraayvanger, Jason,I,WI01,H6WI01184
N00004231,Krause, Bob,D,IAS1,S0IA00101
N00035636,Krause, Joel,R,TX26,H4TX26081
N00033240,Krishnamoorthi, Raja,D,IL08,H6IL08147
N00037027,Kroeger, Gary,D,IA01,H6IA01163
N00030875,Kuster, Ann Mclane,D,NH02,H0NH02181
N00036949,Laboy, Zoe,3,PR00,H6PR00074
N00031377,Labrador, Raul,R,ID01,H0ID01253
N00036418,Lafrance, Nathan,L,AR03,H6AR03094
N00037031,LaHood, Darin,R,IL18,H6IL18088
N00033987,LaMalfa, Doug,R,CA01,H2CA02142
N00039029,Lamb, Thomas,R,AKS2,S6AK00136
N00028133,Lamborn, Douglas L,R,CO05,H6CO05159
N00000898,Lance, Leonard,R,NJ07,H6NJ12136
N00036981,Lane, James,3,NY11,H5NY11036
N00038629,Lange, Jim,D,FL15,H6FL15150
N00038750,Lange, John,R,NY18,H6NY18211
N00009724,Langevin, Jim,D,RI02,H0RI02139
N00031129,Lankford, James,R,OKS1,S4OK00232
N00038598,Laplante, Roger Alan,D,CA08,H6CA08199
N00035729,LaPolice, Alan,R,KS01,H4KS01059
N00027088,Larchuk, Steve,D,PA12,H6PA12089
N00038558,Larivee, Bob,R,CAS1,S6CA00758
N00030562,Larose, Josue,D,FLS2,S2FL00185
N00038632,Larose, Valencia,D,FL19,H6FL19079
N00031517,Larsen, David,R,NJ07,H6NJ07169
N00009759,Larsen, Rick,D,WA02,H0WA02080
N00038448,Larson, Donald,R,OH09,H6OH09099
N00000575,Larson, John B,D,CT01,H8CT01046
N00038427,Lasonde, Joan McCarthy,R,IL09,H6IL09145
N00012233,Latta, Robert E,R,OH05,H8OH05036
N00029470,Lauren, Robert,R,CA45,H8CA47052
N00036872,Law, Alexander,D,NJ01,H6NJ01188
N00036940,Law, Phil,R,NC03,H6NC03138
N00034068,Lawrence, Brenda,D,MI14,H2MI14111
N00036939,Lawrence, Mary,D,MN02,H6MN02123
N00037434,Laws, Jerry,R,CAS1,S6CA00717
N00035334,Leach, Ron,D,KYS2,S6KY00146
N00009918,Leahy, Patrick,D,VTS2,S4VT00017
N00008046,Lee, Barbara,D,CA13,H8CA09060
N00031696,Lee, Mike,R,UTS2,S0UT00165
N00037247,Lee, Susie,D,NV04,H6NV04020
N00038746,Lee, Yungman,D,NY07,H6NY07149
N00029403,Leeds, Robert,R,NVS2,S6NV00226
N00037292,Leib, Bryan,D,PA01,H6PA01165
N00029841,Lessig, Lawrence,D,PRES,P60009685
N00003950,Levin, Sander,D,MI09,H2MI17023
N00038400,Lewis, Jason,R,MN02,H6MN02149
N00002577,Lewis, John,D,GA05,H6GA05217
N00035059,Lewis, Marcus,D,IL02,H2IL02156
N00037054,Li, Lindy,D,PA07,H6PA07113
N00032290,Lieber, Arthur,D,MO02,H0MO02213
N00035295,Lieberman, Richard,D,LA06,H4LA06062
N00037445,Liebnitzky, Wayne,R,FL09,H6FL09195
N00038769,Lieske, Joel,R,OH09,H6OH09107
N00035825,Lieu, Ted,D,CA33,H4CA33119
N00031346,Lingerfelt, Charles,R,TX30,H0TX30032
N00027239,Lipinski, Daniel,D,IL03,H4IL03077
N00038799,Lloyd, James,R,TX07,H6TX07110
N00000851,LoBiondo, Frank A,R,NJ02,H2NJ02037
N00027741,Loebsack, David,D,IA02,H6IA02146
N00007479,Lofgren, Zoe,D,CA19,H4CA16049
N00030676,Long, Billy,R,MO07,H0MO07113
N00037033,Lopez, Adam,D,IL18,H6IL18120
N00038444,Lopez, Pete,R,NY19,H6NY19219
N00037495,Lopez-Cantera, Carlos,R,FLS2,S6FL00343
N00037493,Lopez-Cervantez, Joanne,I,AZS1,S6AZ00241
N00035347,Loudermilk, Barry,R,GA11,H4GA11061
N00033842,Love, Mia,R,UT04,H2UT04023
N00035572,Lowe, Thuy,R,FL05,H4FL05073
N00033274,Lowenthal, Alan,D,CA47,H2CA00104
N00001024,Lowey, Nita M,D,NY17,H8NY20056
N00037620,Lozano, Roy,R,TX24,H6TX24131
N00005559,Lucas, Frank D,R,OK03,H4OK06056
N00038439,Lucero, Michael Glenn,R,NM03,H6NM03075
N00037258,Lucius, Casey,R,CA20,H6CA20145
N00030026,Luetkemeyer, Blaine,R,MO03,H8MO09153
N00029562,Lujan, Ben R,D,NM03,H8NM03196
N00029788,Lummis, Cynthia,R,WY01,H8WY00148
N00038736,Lupinacci, Chad,R,NY03,H6NY03189
N00035946,Lynch, Matt,R,OH14,H4OH14110
N00013855,Lynch, Stephen F,D,MA08,H2MA09072
N00037268,Lynn, Eric,D,FL13,H6FL13189
N00036155,MacArthur, Thomas,R,NJ03,H4NJ03130
N00037058,Maddux, Robert,D,VA07,H6VA07114
N00038829,Madrigal, Ray,D,TX27,H6TX27100
N00038652,Maggitt, Jesse,D,IL14,H6IL14137
N00039065,Mahendra, Bobby,D,NVS2,S6NV00234
N00031530,Malik, Dean,R,PA08,H0PA08122
N00038614,Malloy, Patrick,D,CA50,H6CA50258
N00000078,Maloney, Carolyn B,D,NY12,H2NY14037
N00038590,Maloney, James,D,AZ01,H6AZ01223
N00034277,Maloney, Sean Patrick,D,NY18,H2NY22139
N00026710,Marchant, Kenny,R,TX24,H4TX24094
N00038727,Marin, Juan Antonio Jr,D,NC12,H6NC12048
N00031777,Marino, Tom,R,PA10,H0PA10078
N00038635,Marlowe, Hayden,R,GA03,H6GA03089
N00004766,Marshall, Robert,D,IL06,H0IL08033
N00037034,Marshall, Roger,R,KS01,H6KS01179
N00037294,Marsicano, Michael,D,PA11,H6PA11073
N00038562,Marter, James,R,ILS2,S6IL00334
N00038627,Martin, Jack,R,FL11,H6FL11217
N00038803,Martin, Jeff,R,TX09,H6TX09082
N00039030,Martin, John,R,ALS2,S6AL00328
N00038737,Martins, Jack,R,NY03,H6NY03197
N00037302,Marx, Angie,D,WA03,H6WA03176
N00037280,Mason, Christopher,R,MD06,H6MD06196
N00034041,Massie, Thomas,R,KY04,H2KY04121
N00037269,Mast, Brian,R,FL18,H6FL18097
N00037161,Masto, Catherine Cortez,D,NVS2,S6NV00200
N00038585,Mathis, Nathan,D,AL02,H6AL02167
N00037523,Matory, Liz,I,MD08,H6MD08507
N00027459,Matsui, Doris O,D,CA06,H6CA05195
N00038284,Matta, Bill,D,TX17,H6TX17093
N00037453,Matthews, Andy,R,NV03,H6NV03071
N00037281,Matthews, Kathleen,D,MD08,H6MD08481
N00038764,Matvey, Joe,R,OH08,H6OH08281
N00038825,Mauck, Eric,D,TX26,H6TX26102
N00038617,Maxwell, Matt,R,CT05,H6CT05140
N00026095,May, Donald,R,TX19,H4TX19185
N00038643,Mayers, Richard,3,IL05,H6IL05184
N00036174,McAffrey, Al,D,OK05,H6OK05251
N00039037,McBean, Scott,R,AZS1,S6AZ00274
N00006424,McCain, John,R,AZS1,S6AZ00019
N00035273,McCall, Matt,R,TX21,H4TX21041
N00038257,McCarter, Kyle,R,IL15,H6IL15084
N00028152,McCarthy, Kevin,R,CA23,H6CA22125
N00026460,McCaul, Michael,R,TX10,H4TX10093
N00035304,McClelland, Erin,D,PA12,H4PA12043
N00006863,McClintock, Tom,R,CA04,H8CA04152
N00038715,McCluskey, Blake,L,MS04,H6MS04200
N00012942,McCollum, Betty,D,MN04,H0MN04049
N00038555,McConnell, Jonathan,R,ALS2,S6AL00310
N00036854,McCoy, Dave,D,NCS2,S6NC00258
N00037589,McCullough, William,D,FL06,H6FL06126
N00009829,McDermott, Jim,D,WA07,H8WA07132
N00038857,McDermott, Joe,D,WA07,H6WA07441
N00038854,McDevitt, David,D,WA03,H6WA03184
N00038691,McDonough, Pat,R,MD02,H6MD02211
N00038290,McDowell, Jan,D,TX24,H6TX24149
N00037051,McFall, Jerald,R,NM03,H6NM03059
N00039034,McGill, Shadrack,R,ALS2,S6AL00385
N00037566,McGinty, Katie,D,PAS1,S6PA00266
N00000179,McGovern, James P,D,MA02,H4MA03022
N00038653,McGroarty, Colin,R,IL16,H6IL16082
N00026627,McHenry, Patrick,R,NC10,H4NC10047
N00033834,McKellar, Shirley,D,TX01,H2TX01062
N00031681,McKinley, David,R,WV01,H0WV01072
N00038674,McLaughlin, Nathaniel,D,KS03,H6KS03217
N00038709,McLeod, Johnny,3,MS02,H6MS02170
N00035329,McMichael, Craig,R,TX08,H6TX08183
N00026314,McMorris Rodgers, Cathy,R,WA05,H4WA05077
N00038728,McNeil, John,D,NC13,H6NC13046
N00026926,McNerney, Jerry,D,CA09,H4CA11081
N00033982,McSally, Martha,R,AZ02,H2AZ08102
N00033631,Meadows, Mark R,R,NC11,H2NC11080
N00033559,Mealer, John Lewis,I,AZS1,S6AZ00209
N00031134,Meehan, Patrick,R,PA07,H0PA07082
N00001171,Meeks, Gregory W,D,NY05,H8NY06048
N00038868,Meena, Jack,I,WY01,H6WY01066
N00038759,Meer, Edward,R,OH08,H6OH08232
N00038286,Mehaffey, Sam,R,TX19,H6TX19107
N00028428,Mellon, Rob,D,IL18,H4IL18109
N00037230,Meluskey, Alex,R,AZS1,S6AZ00217
N00037590,Mendenhall, David,I,FL23,H6FL23055
N00027936,Mendoza, Ben,D,TX16,H6TX16111
N00037022,Mendoza, Matt,R,CA53,H6CA53062
N00034547,Meng, Grace,D,NY06,H2NY06116
N00012546,Messer, Luke,R,IN06,H0IN02125
N00002793,Mica, John L,R,FL07,H2FL08055
N00007835,Mike, the Mover,R,WAS2,S6WA00347
N00036942,Millard, Andy,D,NC10,H6NC10158
N00038697,Miller, Darlene,R,MN02,H6MN02198
N00013846,Miller, Jeff,R,FL01,H2FL01100
N00036924,Mills, Chip,R,MS01,H5MS01018
N00036491,Mills, John,R,TN08,H4TN08099
N00038724,Mills, Thomas,D,NC08,H6NC08145
N00037444,Minning, Dena,D,FL09,H6FL09187
N00038745,Mirza, Ali,D,NY05,H6NY05069
N00036274,Mitchell, Paul,R,MI10,H4MI04118
N00038663,Mix, Richard,R,GA03,H6GA03097
N00037409,Moharir, Mukund Martand,I,CAS1,S6CA00709
N00036900,Molnar, Robert,R,CAS1,S6CA00568
N00036271,Molyett, Matthew,D,MD03,H4MD03115
N00036275,Moolenaar, John,R,MI04,H4MI04126
N00033814,Mooney, Alex,R,WV02,H4WV02080
N00026914,Moore, Gwen,D,WI04,H4WI04183
N00005282,Moran, Jerry,R,KSS2,S0KS00091
N00038430,Morgan, Yuripzy,R,MD06,H6MD02203
N00037266,Morning, John,R,FL07,H6FL07108
N00037605,Morrison, Terrance,D,MI14,H6MI14195
N00008363,Morrow, John,R,IL02,H6IL02199
N00038413,Morse, Nicholas,R,CO02,H6CO02149
N00038672,Moss, Richard,R,IN08,H6IN08228
N00035431,Moulton, Seth,D,MA06,H4MA06090
N00037181,Mowery, Tod,R,FL18,H6FL18089
N00035416,Mowrer, Jim,D,IA03,H4IA04113
N00033410,Mullin, Markwayne,R,OK02,H2OK02083
N00031412,Mulvaney, Mick,R,SC05,H0SC05031
N00038248,Murdock, Brett,D,CA39,H6CA39137
N00026050,Murkowski, Lisa,R,AKS2,S4AK00099
N00037529,Muroff, Dan,D,PA02,H6PA02155
N00037619,Murphy, John,R,TX21,H6TX21210
N00035289,Murphy, Pat,D,IA01,H4IA01069
N00033091,Murphy, Patrick,D,FLS2,S6FL00319
N00024992,Murphy, Tim,R,PA18,H2PA18143
N00007876,Murray, Patty,D,WAS2,S2WA00189
N00037177,Musante, Marcus,D,CA44,H6CA44111
N00038265,Myhra, Pam,R,MN02,H6MN02156
N00038642,Myrickes, Dorian,D,IL02,H6IL02264
N00000939,Nadler, Jerrold,D,NY10,H2NY17071
N00039033,Nana, Charles,D,ALS2,S6AL00369
N00036930,Nance, Kathryn,R,CA09,H6CA09098
N00006789,Napolitano, Grace,D,CA32,H8CA34068
N00038568,Nasiri, Mohammad Abous Sabur,I,NCS2,S6NC00290
N00037399,Nathan, Bruce,I,FLS2,S6FL00327
N00035377,Naughton, Shaughnessy,D,PA08,H4PA08116
N00037584,Navarro, Omar,R,CA44,H6CA44145
N00000153,Neal, Richard E,D,MA01,H8MA02041
N00036781,Neely, Charles,I,AR02,H4AR02182
N00037025,Negron, Rebecca,R,FL18,H6FL18055
N00026043,Neugebauer, Randy,R,TX19,H4TX19102
N00038395,Neville, Tim,R,COS1,S6CO00259
N00036403,Newhouse, Dan,R,WA04,H4WA04104
N00037600,Newton, William,R,MD07,H6MD07434
N00037441,Nguyen, Bao,D,CA46,H6CA46140
N00037521,Nightenhelser, Todd,D,IN03,H6IN03245
N00037517,Nikpour, Noelle,R,FL18,H6FL18139
N00038398,Noble, Sandra Queen,3,CA08,H6CA08181
N00032022,Noem, Kristi,R,SD01,H0SD00054
N00021207,Nolan, Rick,D,MN08,H2MN08111
N00037250,Noland, Michael,D,IL08,H6IL08162
N00036154,Norcross, Don,D,NJ01,H4NJ01084
N00021222,Norris, Chuck,D,CO01,H6CO06017
N00033875,Norris, Phil,R,AL04,H6AL04148
N00001692,Norton, Eleanor Holmes,D,DC00,H0DC00058
N00030734,Novak, Daria,R,CT02,H0CT02140
N00032441,Nugent, Richard,R,FL11,H0FL05139
N00007248,Nunes, Devin,R,CA22,H8CA20059
N00036943,O'Connor, Shawn,D,NH01,H6NH01271
N00037515,O'Halleran, Tom,D,AZ01,H6AZ01199
N00031956,O'Hara, Shawn,3,MS04,H0MS03049
N00037007,O'Malley, Martin,D,PRES,P60007671
N00038689,O'Malley, Tom,R,MA09,H6MA09156
N00033540,O'Rourke, Beto,D,TX16,H2TX16185
N00033404,Oceguera, John,D,NV04,H6NV04038
N00038749,Oliva, Phil,R,NY18,H6NY18203
N00013843,Olivas, Miguel,D,AZ01,H6AZ01181
N00038587,Olree, Brock,R,AR02,H6AR02252
N00029285,Olson, Pete,R,TX22,H8TX22107
N00029512,Orentlicher, David,D,IN08,H8IN07176
N00037413,Orton, Bill,D,CA44,H6CA44137
N00038675,Osborne, Tom,D,KY01,H6KY01136
N00037496,Osborne, Walter,3,FLS2,S6FL00368
N00037013,Ostrander, Bill,D,CA24,H6CA24287
N00037189,Otto, Bill,D,MO02,H6MO02301
N00038723,Otto, Mark,R,NC07,H6NC07162
N00038704,Owens, Jacob,D,MS01,H6MS01263
N00038664,Pace, Jim,R,GA03,H6GA03105
N00039049,Pahlke, Elizabeth Diane,R,ILS2,S6IL00367
N00035766,Pakootas, Joe,D,WA05,H4WA05127
N00038808,Palacios, Juan Jr,D,TX15,H6TX15154
N00031958,Palazzo, Steven,R,MS04,H0MS04120
N00000781,Pallone, Frank Jr,D,NJ06,H8NJ03073
N00035691,Palmer, Gary,R,AL06,H4AL06098
